maxlen,max_features,augmented,cut,lower,toxic_auc,toxic_precision,toxic_recall,toxic_f1,severe_auc,severe_precision,severe_recall,severe_f1,obscene_auc,obscene_precision,obscene_recall,obscene_f1,threat_auc,threat_precision,threat_recall,threat_f1,insult_auc,insult_precision,insult_recall,insult_f1,identity_auc,identity_precision,identity_recall,identity_f1,final_auc
150,30000,FALSE,FALSE,FALSE,0.978705228,0.865310078,0.763247863,0.811080836,0.989162609,0.648648649,0.1,0.173285199,0.987214945,0.850813743,0.742113565,0.792754844,0.969563746,0.666666667,0.03030303,0.057971014,0.984239354,0.796355841,0.61659751,0.695042095,0.983435225,0.813333333,0.271111111,0.406666667,0.982053518
200,30000,FALSE,FALSE,FALSE,0.979410102,0.870425321,0.752136752,0.80696928,0.989074634,0.685714286,0.1,0.174545455,0.987485011,0.861451461,0.720820189,0.784886217,0.969364542,0,0,0,0.984279054,0.817745803,0.565975104,0.66895537,0.984061862,0.841269841,0.235555556,0.368055556,0.982279201
250,30000,FALSE,FALSE,FALSE,0.979374711,0.861920688,0.770940171,0.813895782,0.986554573,0.64,0.066666667,0.120754717,0.987015751,0.860055607,0.731861199,0.790796762,0.97482924,0.6,0.045454545,0.084507042,0.983882578,0.809360731,0.588381743,0.681403172,0.981005677,0.786885246,0.213333333,0.335664336,0.982110422
300,30000,FALSE,FALSE,FALSE,0.979842813,0.85660019,0.770940171,0.811515969,0.987372322,0.75,0.1,0.176470588,0.987232676,0.85528757,0.727129338,0.786018755,0.969876601,0.5,0.015151515,0.029411765,0.984060784,0.811254396,0.574273859,0.67249757,0.982212061,0.759259259,0.182222222,0.29390681,0.98176621
150,40000,FALSE,FALSE,FALSE,0.978210676,0.846880907,0.765811966,0.804308797,0.988971879,0.475,0.554166667,0.511538462,0.986975169,0.841409692,0.753154574,0.794839784,0.963867011,0,0,0,0.983663292,0.755555556,0.705394191,0.729613734,0.982968277,0.716535433,0.404444444,0.517045455,0.980776051
200,40000,FALSE,FALSE,FALSE,0.9789522,0.843367827,0.766239316,0.802955665,0.989264664,0.470588235,0.566666667,0.514177694,0.987537495,0.834324554,0.77444795,0.803271984,0.966972513,0,0,0,0.984167832,0.734241908,0.715352697,0.724674233,0.983009387,0.728,0.404444444,0.52,0.981650682
250,40000,FALSE,FALSE,FALSE,0.978907474,0.84109972,0.771367521,0.804725814,0.987308921,0.470779221,0.604166667,0.52919708,0.986989786,0.825833333,0.781545741,0.803079417,0.963072404,0,0,0,0.983629418,0.736885928,0.734439834,0.735660848,0.981836377,0.727272727,0.426666667,0.537815126,0.98029073
300,40000,FALSE,FALSE,FALSE,0.979349687,0.851588431,0.767521368,0.807372443,0.987624617,0.472222222,0.566666667,0.515151515,0.987341121,0.841966637,0.756309148,0.796842543,0.965955972,0,0,0,0.983932026,0.741908007,0.722821577,0.732240437,0.982700357,0.724409449,0.408888889,0.522727273,0.98115063
150,50000,FALSE,FALSE,FALSE,0.979392032,0.867813268,0.754700855,0.807314286,0.98976558,0.630769231,0.170833333,0.268852459,0.988043566,0.831395349,0.789432177,0.80987055,0.969500291,0.75,0.045454545,0.085714286,0.984429469,0.765478424,0.677178423,0.718626156,0.983957454,0.735294118,0.222222222,0.341296928,0.982514732
200,50000,TRUE,FALSE,TRUE,0.97954335,0.83881427,0.77393162,0.80506779,0.9895487,0.53623188,0.4625,0.4966443,0.98810977,0.82043097,0.81072555,0.81554939,0.97735733,0.54545455,0.18181818,0.27272727,0.984338,0.77268195,0.64315353,0.70199275,0.98342301,0.71428571,0.37777778,0.49418605,0.98372003
