trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",20,0,-117.52526722242422,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.9025}",20,0,-117.03859529176691,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.8573749999999999}",25,0,-102.38382234678801,"{0: 14, 1: 7, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.8145062499999999}",30,0,-91.23911399495412,"{0: 17, 1: 8, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.7737809374999999}",25,0,-43.97303102537262,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.7350918906249998}",20,12,1.5204640073822944,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.6983372960937497}",25,0,-191.3687747950729,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.6634204312890623}",30,15,-36.45294801421843,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.2, 'e': 0.6302494097246091}",20,7,-17.997406415877123,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.2, 'e': 0.5987369392383786}",25,5,-74.84157099424174,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.2, 'e': 0.5688000922764596}",20,15,7.855383711471282,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.5403600876626365}",35,0,-32.50482703408667,"{0: 27, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.5133420832795047}",35,0,-169.14335514137377,"{0: 23, 1: 5, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.2, 'e': 0.48767497911552943}",20,0,4.442182494681582,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.46329123015975293}",25,11,1.6758049930630354,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.44012666865176525}",25,11,-5.475381786644228,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.41812033521917696}",25,8,25.64014619918054,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.3972143184582181}",20,5,-12.488970468314756,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.2, 'e': 0.37735360253530714}",25,0,-75.45358574697167,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.35848592240854177}",30,13,15.549470544884876,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.2, 'e': 0.34056162628811465}",20,7,-37.67700343733622,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.2, 'e': 0.3235335449737089}",30,19,-33.250713288511335,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.2, 'e': 0.30735686772502346}",20,0,4.248514384912779,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.2, 'e': 0.2919890243387723}",20,0,11.180855006019295,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.27738957312183365}",25,11,-15.79596451533187,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.263520094465742}",20,0,-79.4568770759744,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.2, 'e': 0.25034408974245487}",30,15,4.936842763370165,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.2, 'e': 0.2378268852553321}",20,0,2.5084192084602055,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.2, 'e': 0.2259355409925655}",25,4,-2.233323421198401,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.2146387639429372}",25,12,23.74269556634086,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.20390682574579033}",20,0,4.543063354776247,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
