trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-191.6956233214457,"{0: 16, 1: 10, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.37606744993425,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,16,-51.71385670638903,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,9,-14.165314486515227,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.1539013681881,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.05143892576498,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,7,-71.1763466172423,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.80349186146318,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.5670478011066,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.28807281393725,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.2020707372233,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.98270255692984,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,13,-3.8885890774198595,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,19,-22.316639012146,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.9442698329615,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.23669666160154,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.54371448928032,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.80169388103997,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.86680789214108,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.82979469039327,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-92.24721513017496,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-9.050112282721965,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.78705944072105,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.17260455544184,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.96744087642836,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.879748951641346,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-302.1010178768129,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,8,-117.67076445314294,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.40268455362758,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,23,1.8934291704678485,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
